Arrests by Offense,Montgomery,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",10,4
Robbery,10,1
Aggravated Assault,39,6
Simple Assault/Intimidation,258,18
Arson,2,0
Extortion/Blackmail,1,0
Burglary,26,
Larceny,140,25
Motor Vehicle Theft,13,0
Counterfeiting/Forgery,14,0
Fraud,34,0
Embezzlement,8,7
Stolen Property,2,5
Vandalism,53,35
Drug/Narcotic Offenses,257,6
"Sex Offenses, Nonforcible",1,0
Pornography,4,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,32,2
TOTAL GROUP A,911,109
Bad Checks,116,1
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,43,6
Driving Under Influence,479,8
Drunkenness,602,4
"Family Offenses, Nonforcible",7,
Liquor Laws Violations,269,25
Peeping Tom,3,0
Runaway,0,2
Trespass of Real Property,50,1
Conspiracy,0,0
All Other (except Traffic),593,3
TOTAL GROUP B,2162,50
GRAND TOTAL,3073,159
