Arrests by Offense,Botetourt,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",6,1
Robbery,4,0
Aggravated Assault,13,5
Simple Assault/Intimidation,59,8
Arson,0,1
Extortion/Blackmail,3,1
Burglary,6,
Larceny,41,6
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,3,0
Fraud,4,1
Embezzlement,2,0
Stolen Property,0,1
Vandalism,9,5
Drug/Narcotic Offenses,77,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,1
TOTAL GROUP A,239,37
Bad Checks,32,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,,
Driving Under Influence,155,2
Drunkenness,87,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,8,6
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,7,2
Conspiracy,0,0
All Other (except Traffic),105,7
TOTAL GROUP B,395,18
GRAND TOTAL,634,55
