Arrests by Offense,Wythe,
,Adult,Juvenile
Murder,1,1
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",16,0
Robbery,0,0
Aggravated Assault,23,2
Simple Assault/Intimidation,132,13
Arson,1,0
Extortion/Blackmail,0,0
Burglary,25,5
Larceny,102,8
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,22,0
Fraud,15,0
Embezzlement,3,0
Stolen Property,4,0
Vandalism,27,5
Drug/Narcotic Offenses,161,6
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,31,4
TOTAL GROUP A,570,44
Bad Checks,24,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,16,6
Driving Under Influence,156,2
Drunkenness,203,1
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,23,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,20,0
Conspiracy,5,0
All Other (except Traffic),332,14
TOTAL GROUP B,782,31
GRAND TOTAL,1352,75
