Arrests by Offense,Scott,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,1
Robbery,1,0
Aggravated Assault,13,1
Simple Assault/Intimidation,141,7
Arson,6,0
Extortion/Blackmail,0,0
Burglary,25,2
Larceny,44,1
Motor Vehicle Theft,4,1
Counterfeiting/Forgery,5,0
Fraud,13,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,17,1
Drug/Narcotic Offenses,23,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,13,0
TOTAL GROUP A,313,22
Bad Checks,21,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,4,
Driving Under Influence,71,0
Drunkenness,79,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,1,
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,23,0
Conspiracy,0,0
All Other (except Traffic),152,9
TOTAL GROUP B,352,10
GRAND TOTAL,665,32
