Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",16,2
Robbery,12,1
Aggravated Assault,18,1
Simple Assault/Intimidation,415,41
Arson,2,0
Extortion/Blackmail,0,0
Burglary,33,1
Larceny,145,21
Motor Vehicle Theft,13,5
Counterfeiting/Forgery,48,1
Fraud,56,3
Embezzlement,12,1
Stolen Property,2,1
Vandalism,19,11
Drug/Narcotic Offenses,289,18
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,40,5
TOTAL GROUP A,"1,125",112
Bad Checks,158,0
Curfew/Loitering/Vagrancy,,3
Disorderly Conduct,50,12
Driving Under Influence,335,4
Drunkenness,197,3
"Family Offenses, Nonforcible",19,
Liquor Laws Violations,73,22
Peeping Tom,0,0
Runaway,0,5
Trespass of Real Property,71,4
Conspiracy,0,0
All Other (except Traffic),1418,111
TOTAL GROUP B,2321,164
GRAND TOTAL,3446,276
