Arrests by Offense,Essex,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,0
Robbery,0,0
Aggravated Assault,8,0
Simple Assault/Intimidation,54,10
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,10
Larceny,37,22
Motor Vehicle Theft,9,2
Counterfeiting/Forgery,9,0
Fraud,10,4
Embezzlement,3,0
Stolen Property,1,0
Vandalism,22,22
Drug/Narcotic Offenses,30,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,205,74
Bad Checks,86,0
Curfew/Loitering/Vagrancy,,6
Disorderly Conduct,29,3
Driving Under Influence,40,0
Drunkenness,53,0
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,30,7
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,6,3
Conspiracy,0,0
All Other (except Traffic),174,9
TOTAL GROUP B,422,28
GRAND TOTAL,627,102
