Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,16,6
Manslaughter,0,0
Kidnaping,44,1
"Sex Offenses, Forcible",65,23
Robbery,88,36
Aggravated Assault,232,46
Simple Assault/Intimidation,"1,360",250
Arson,6,17
Extortion/Blackmail,0,0
Burglary,123,93
Larceny,460,216
Motor Vehicle Theft,53,68
Counterfeiting/Forgery,65,3
Fraud,96,7
Embezzlement,56,5
Stolen Property,38,21
Vandalism,104,71
Drug/Narcotic Offenses,1356,165
"Sex Offenses, Nonforcible",2,2
Pornography,0,0
Gambling,,0
Prostitution,34,0
Bribery,0,0
Weapon Law Violations,133,44
TOTAL GROUP A,"4,331",1074
Bad Checks,,0
Curfew/Loitering/Vagrancy,1,177
Disorderly Conduct,87,35
Driving Under Influence,303,11
Drunkenness,858,4
"Family Offenses, Nonforcible",162,4
Liquor Laws Violations,27,66
Peeping Tom,8,2
Runaway,0,241
Trespass of Real Property,269,143
Conspiracy,2,1
All Other (except Traffic),671,420
TOTAL GROUP B,2388,1104
GRAND TOTAL,6719,2178
