Arrests by Offense,Hampton,
,Adult,Juvenile
Murder,9,2
Manslaughter,0,0
Kidnaping,34,5
"Sex Offenses, Forcible",34,13
Robbery,68,53
Aggravated Assault,93,18
Simple Assault/Intimidation,881,139
Arson,2,7
Extortion/Blackmail,1,0
Burglary,108,60
Larceny,440,193
Motor Vehicle Theft,27,13
Counterfeiting/Forgery,38,1
Fraud,66,8
Embezzlement,54,2
Stolen Property,30,2
Vandalism,44,36
Drug/Narcotic Offenses,1080,119
"Sex Offenses, Nonforcible",1,1
Pornography,1,0
Gambling,0,0
Prostitution,7,0
Bribery,1,0
Weapon Law Violations,153,33
TOTAL GROUP A,3172,705
Bad Checks,19,0
Curfew/Loitering/Vagrancy,2,332
Disorderly Conduct,18,31
Driving Under Influence,487,2
Drunkenness,1051,5
"Family Offenses, Nonforcible",49,0
Liquor Laws Violations,19,14
Peeping Tom,2,0
Runaway,0,488
Trespass of Real Property,214,43
Conspiracy,0,0
All Other (except Traffic),3972,138
TOTAL GROUP B,5833,1053
GRAND TOTAL,9005,1758
