Arrests by Offense,Tazewell,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",5,2
Robbery,4,0
Aggravated Assault,34,2
Simple Assault/Intimidation,188,7
Arson,3,0
Extortion/Blackmail,0,0
Burglary,45,5
Larceny,227,19
Motor Vehicle Theft,15,2
Counterfeiting/Forgery,64,0
Fraud,30,0
Embezzlement,18,0
Stolen Property,1,0
Vandalism,46,5
Drug/Narcotic Offenses,199,10
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,34,4
TOTAL GROUP A,925,56
Bad Checks,8,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,24,1
Driving Under Influence,216,0
Drunkenness,253,3
"Family Offenses, Nonforcible",8,0
Liquor Laws Violations,22,8
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,18,0
Conspiracy,4,0
All Other (except Traffic),241,18
TOTAL GROUP B,794,32
GRAND TOTAL,1719,88
