Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",3,1
Robbery,12,8
Aggravated Assault,47,2
Simple Assault/Intimidation,325,14
Arson,1,0
Extortion/Blackmail,0,0
Burglary,20,1
Larceny,113,19
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,11,0
Fraud,28,0
Embezzlement,12,0
Stolen Property,5,1
Vandalism,31,3
Drug/Narcotic Offenses,189,17
"Sex Offenses, Nonforcible",1,1
Pornography,0,0
Gambling,0,0
Prostitution,6,0
Bribery,0,0
Weapon Law Violations,20,3
TOTAL GROUP A,831,71
Bad Checks,473,0
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,31,3
Driving Under Influence,155,2
Drunkenness,577,3
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,70,2
Peeping Tom,0,0
Runaway,0,57
Trespass of Real Property,246,6
Conspiracy,0,0
All Other (except Traffic),952,29
TOTAL GROUP B,2506,104
GRAND TOTAL,3337,175
