Arrests by Offense,Charlotte,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,13,3
Simple Assault/Intimidation,93,16
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,0
Larceny,21,1
Motor Vehicle Theft,4,1
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,8,1
Drug/Narcotic Offenses,53,2
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,2
TOTAL GROUP A,215,26
Bad Checks,92,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,6,3
Driving Under Influence,34,1
Drunkenness,44,2
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),107,0
TOTAL GROUP B,293,6
GRAND TOTAL,508,32
