Arrests by Offense,Covington,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,8,0
Simple Assault/Intimidation,55,5
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,3
Larceny,15,6
Motor Vehicle Theft,2,3
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,1,6
Drug/Narcotic Offenses,12,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,0
TOTAL GROUP A,101,23
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,3
Driving Under Influence,58,0
Drunkenness,86,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,12,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,4
Conspiracy,0,0
All Other (except Traffic),48,1
TOTAL GROUP B,219,15
GRAND TOTAL,320,38
