Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,39,0
Manslaughter,0,0
Kidnaping,66,4
"Sex Offenses, Forcible",53,4
Robbery,185,18
Aggravated Assault,354,30
Simple Assault/Intimidation,1354,299
Arson,8,4
Extortion/Blackmail,1,2
Burglary,164,28
Larceny,547,81
Motor Vehicle Theft,69,15
Counterfeiting/Forgery,52,1
Fraud,131,3
Embezzlement,15,0
Stolen Property,34,4
Vandalism,119,32
Drug/Narcotic Offenses,2073,68
"Sex Offenses, Nonforcible",2,0
Pornography,0,0
Gambling,0,0
Prostitution,42,1
Bribery,0,0
Weapon Law Violations,204,18
TOTAL GROUP A,5512,612
Bad Checks,22,0
Curfew/Loitering/Vagrancy,0,10
Disorderly Conduct,95,100
Driving Under Influence,169,0
Drunkenness,470,4
"Family Offenses, Nonforcible",181,1
Liquor Laws Violations,38,4
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,427,24
Conspiracy,0,0
All Other (except Traffic),3373,37
TOTAL GROUP B,4776,180
GRAND TOTAL,10288,792
