Arrests by Offense,Orange,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,0
Robbery,0,1
Aggravated Assault,5,0
Simple Assault/Intimidation,46,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,0,0
Larceny,27,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,3,0
Fraud,3,0
Embezzlement,5,0
Stolen Property,1,0
Vandalism,2,1
Drug/Narcotic Offenses,98,14
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,200,19
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,10,2
Driving Under Influence,104,1
Drunkenness,95,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,3,0
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,5,5
Conspiracy,2,1
All Other (except Traffic),126,18
TOTAL GROUP B,345,29
GRAND TOTAL,545,48
