Arrests by Offense,Total City,
,Adult,Juvenile
Murder,152,11
Manslaughter,3,0
Kidnaping,455,36
"Sex Offenses, Forcible",545,119
Robbery,989,319
Aggravated Assault,2169,323
Simple Assault/Intimidation,16146,2345
Arson,64,82
Extortion/Blackmail,10,22
Burglary,1367,471
Larceny,7744,2175
Motor Vehicle Theft,376,156
Counterfeiting/Forgery,989,26
Fraud,1582,37
Embezzlement,681,38
Stolen Property,440,70
Vandalism,1421,619
Drug/Narcotic Offenses,16315,1308
"Sex Offenses, Nonforcible",45,4
Pornography,38,0
Gambling,81,4
Prostitution,654,1
Bribery,6,0
Weapon Law Violations,1809,330
TOTAL GROUP A,54081,8496
Bad Checks,2131,1
Curfew/Loitering/Vagrancy,119,2107
Disorderly Conduct,3172,850
Driving Under Influence,8222,39
Drunkenness,16157,106
"Family Offenses, Nonforcible",1007,12
Liquor Laws Violations,4396,769
Peeping Tom,35,3
Runaway,0,2249
Trespass of Real Property,5491,801
Conspiracy,32,1
All Other (except Traffic),48414,3861
TOTAL GROUP B,89176,10799
GRAND TOTAL,143257,19295
