Arrests by Offense,Prince George,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",5,1
Robbery,4,0
Aggravated Assault,12,0
Simple Assault/Intimidation,65,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,17,4
Larceny,24,2
Motor Vehicle Theft,5,1
Counterfeiting/Forgery,3,0
Fraud,6,1
Embezzlement,4,0
Stolen Property,4,0
Vandalism,9,3
Drug/Narcotic Offenses,72,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,0
TOTAL GROUP A,240,22
Bad Checks,7,0
Curfew/Loitering/Vagrancy,0,21
Disorderly Conduct,5,0
Driving Under Influence,80,2
Drunkenness,31,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,3,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,5
Conspiracy,1,0
All Other (except Traffic),67,5
TOTAL GROUP B,201,34
GRAND TOTAL,441,56
