Arrests by Offense,Lynchburg,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,26,0
"Sex Offenses, Forcible",15,0
Robbery,24,6
Aggravated Assault,47,4
Simple Assault/Intimidation,679,35
Arson,3,2
Extortion/Blackmail,0,0
Burglary,50,23
Larceny,392,126
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,30,0
Fraud,61,1
Embezzlement,28,0
Stolen Property,10,0
Vandalism,42,9
Drug/Narcotic Offenses,737,57
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,2,1
Prostitution,3,0
Bribery,0,0
Weapon Law Violations,65,9
TOTAL GROUP A,2220,273
Bad Checks,111,0
Curfew/Loitering/Vagrancy,7,2
Disorderly Conduct,96,12
Driving Under Influence,251,1
Drunkenness,446,1
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,188,19
Peeping Tom,0,0
Runaway,0,45
Trespass of Real Property,241,16
Conspiracy,0,0
All Other (except Traffic),1979,70
TOTAL GROUP B,3328,166
GRAND TOTAL,5548,439
