Arrests by Offense,Henrico,
,Adult,Juvenile
Murder,7,1
Manslaughter,0,0
Kidnaping,3,2
"Sex Offenses, Forcible",19,0
Robbery,103,31
Aggravated Assault,234,51
Simple Assault/Intimidation,1331,325
Arson,7,42
Extortion/Blackmail,0,0
Burglary,151,94
Larceny,1089,346
Motor Vehicle Theft,16,9
Counterfeiting/Forgery,65,5
Fraud,125,3
Embezzlement,45,0
Stolen Property,22,5
Vandalism,111,93
Drug/Narcotic Offenses,1089,153
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,3,0
Prostitution,18,0
Bribery,0,0
Weapon Law Violations,142,53
TOTAL GROUP A,4580,1213
Bad Checks,23,0
Curfew/Loitering/Vagrancy,3,85
Disorderly Conduct,110,224
Driving Under Influence,787,11
Drunkenness,912,13
"Family Offenses, Nonforcible",39,0
Liquor Laws Violations,178,113
Peeping Tom,3,0
Runaway,0,520
Trespass of Real Property,355,76
Conspiracy,3,3
All Other (except Traffic),4685,271
TOTAL GROUP B,7098,1316
GRAND TOTAL,11678,2529
