Arrests by Offense,Salem,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",11,3
Robbery,14,7
Aggravated Assault,13,2
Simple Assault/Intimidation,135,11
Arson,0,0
Extortion/Blackmail,0,0
Burglary,15,4
Larceny,88,15
Motor Vehicle Theft,9,1
Counterfeiting/Forgery,84,9
Fraud,27,1
Embezzlement,14,2
Stolen Property,0,1
Vandalism,22,13
Drug/Narcotic Offenses,119,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,4
TOTAL GROUP A,563,82
Bad Checks,24,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,30,14
Driving Under Influence,120,0
Drunkenness,171,2
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,24,8
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,29,2
Conspiracy,0,0
All Other (except Traffic),536,26
TOTAL GROUP B,935,53
GRAND TOTAL,1498,135
