Arrests by Offense,Falls Church,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,2,1
Aggravated Assault,4,0
Simple Assault/Intimidation,38,6
Arson,1,0
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,29,2
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,8,0
Fraud,7,0
Embezzlement,4,0
Stolen Property,0,0
Vandalism,5,5
Drug/Narcotic Offenses,24,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,3,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,2,0
TOTAL GROUP A,134,20
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,24,0
Driving Under Influence,42,0
Drunkenness,85,10
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,9,16
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,45,1
Conspiracy,0,0
All Other (except Traffic),99,4
TOTAL GROUP B,305,31
GRAND TOTAL,439,51
