Arrests by Offense,Goochland,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,1
Robbery,2,1
Aggravated Assault,29,0
Simple Assault/Intimidation,2,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,0
Larceny,11,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,2,0
Fraud,4,1
Embezzlement,1,0
Stolen Property,1,0
Vandalism,1,2
Drug/Narcotic Offenses,50,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,118,7
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,2
Driving Under Influence,112,0
Drunkenness,19,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,16,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),174,2
TOTAL GROUP B,334,8
GRAND TOTAL,452,15
