Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,22,0
Manslaughter,0,0
Kidnaping,62,18
"Sex Offenses, Forcible",73,27
Robbery,143,69
Aggravated Assault,175,56
Simple Assault/Intimidation,3073,789
Arson,18,32
Extortion/Blackmail,3,19
Burglary,155,103
Larceny,1065,546
Motor Vehicle Theft,45,19
Counterfeiting/Forgery,129,5
Fraud,202,10
Embezzlement,95,6
Stolen Property,54,13
Vandalism,249,208
Drug/Narcotic Offenses,2062,327
"Sex Offenses, Nonforcible",7,0
Pornography,11,0
Gambling,3,0
Prostitution,72,0
Bribery,0,0
Weapon Law Violations,286,85
TOTAL GROUP A,8004,2332
Bad Checks,90,0
Curfew/Loitering/Vagrancy,76,859
Disorderly Conduct,748,228
Driving Under Influence,1657,8
Drunkenness,3271,26
"Family Offenses, Nonforcible",35,0
Liquor Laws Violations,904,311
Peeping Tom,11,0
Runaway,0,5
Trespass of Real Property,588,207
Conspiracy,2,0
All Other (except Traffic),9498,582
TOTAL GROUP B,16880,2226
GRAND TOTAL,24884,4558
