Arrests by Offense,Wise,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,12,0
"Sex Offenses, Forcible",7,5
Robbery,2,0
Aggravated Assault,37,2
Simple Assault/Intimidation,338,40
Arson,13,0
Extortion/Blackmail,1,0
Burglary,29,1
Larceny,172,7
Motor Vehicle Theft,8,0
Counterfeiting/Forgery,20,0
Fraud,7,0
Embezzlement,8,0
Stolen Property,10,0
Vandalism,54,3
Drug/Narcotic Offenses,143,12
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,1,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,36,1
TOTAL GROUP A,899,71
Bad Checks,168,1
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,29,17
Driving Under Influence,242,2
Drunkenness,412,2
"Family Offenses, Nonforcible",10,0
Liquor Laws Violations,33,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,59,2
Conspiracy,4,0
All Other (except Traffic),1121,38
TOTAL GROUP B,2078,64
GRAND TOTAL,2977,135
