Arrests by Offense,Poquoson,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,1,1
Simple Assault/Intimidation,31,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,3
Larceny,16,1
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,1,0
Fraud,2,0
Embezzlement,3,0
Stolen Property,0,1
Vandalism,3,1
Drug/Narcotic Offenses,22,9
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,1
TOTAL GROUP A,89,24
Bad Checks,7,0
Curfew/Loitering/Vagrancy,0,9
Disorderly Conduct,0,1
Driving Under Influence,14,0
Drunkenness,23,2
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,17,22
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,13,7
Conspiracy,0,0
All Other (except Traffic),16,4
TOTAL GROUP B,90,45
GRAND TOTAL,179,69
