Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,0,0
Manslaughter,1,0
Kidnaping,9,0
"Sex Offenses, Forcible",8,1
Robbery,6,3
Aggravated Assault,15,2
Simple Assault/Intimidation,297,13
Arson,1,2
Extortion/Blackmail,0,0
Burglary,32,6
Larceny,256,105
Motor Vehicle Theft,5,1
Counterfeiting/Forgery,32,0
Fraud,34,1
Embezzlement,30,1
Stolen Property,10,4
Vandalism,24,4
Drug/Narcotic Offenses,256,24
"Sex Offenses, Nonforcible",0,0
Pornography,3,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,22,3
TOTAL GROUP A,1042,170
Bad Checks,175,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,33,16
Driving Under Influence,160,1
Drunkenness,176,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,122,63
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,43,6
Conspiracy,0,0
All Other (except Traffic),894,59
TOTAL GROUP B,1608,145
GRAND TOTAL,2650,315
