Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,218,0,0,3,1,1,1,19,4,0,1,136,0,3,8,0,1,32,22,0,0,0,0,0,1
Eastern Va Medical School PD ,,,28,0,0,0,0,0,0,8,0,0,0,18,0,0,0,0,0,7,0,0,0,0,0,0,0
Emory & Henry College PD ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ferrum College PD ,,,77,0,0,1,0,1,0,18,1,0,3,24,0,0,1,0,0,15,16,0,0,0,0,0,1
George Mason University PD ,,,429,0,0,0,2,1,2,45,2,1,7,179,2,2,24,1,2,60,176,0,0,0,0,0,9
Hampton University PD ,,,102,0,0,0,0,0,1,21,0,0,6,53,0,1,0,0,1,22,6,0,0,0,0,0,1
J. Sargeant Reynolds Community College PD ,,,49,0,0,0,0,0,0,2,0,0,0,33,0,2,0,0,2,7,3,0,0,0,0,0,1
James Madison University PD ,,,313,0,1,0,0,0,2,10,1,0,10,126,0,1,21,1,1,102,81,0,0,0,0,0,0
Longwood University PD,,,107,1,0,0,0,0,1,6,0,0,10,43,3,0,3,0,0,30,19,0,0,0,0,0,2
Lord Fairfax Community College PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk State University PD ,,,228,0,0,1,2,5,5,24,1,0,26,112,1,0,11,1,0,39,7,0,0,0,0,0,3
N. Virginia Community College PD ,,,168,0,0,2,6,0,2,18,0,0,0,111,1,1,0,0,0,21,9,0,0,0,0,0,1
Old Dominion University PD ,,,710,0,4,4,2,8,7,87,2,1,39,304,6,3,22,0,2,239,27,0,0,0,0,0,5
Radford University PD ,,,209,0,0,3,1,0,0,34,4,0,5,53,0,0,5,0,1,76,72,0,0,0,0,0,0
Richard Bland College PD ,,,26,0,0,0,0,0,0,10,0,0,1,10,0,0,0,0,0,6,0,0,0,0,0,0,0
Thomas Nelson Community College PD 5 ,,,7,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0
University of Mary Washington PD ,,,111,0,0,1,3,2,0,9,0,0,2,15,0,0,1,0,0,66,14,0,0,0,0,0,2
University of Richmond PD ,,,162,0,0,2,0,0,0,8,1,0,8,72,3,0,3,0,0,51,29,0,0,0,0,0,0
University of Virginia PD ,,,468,0,1,5,11,0,6,56,0,1,60,223,22,0,13,1,1,62,27,0,0,0,0,0,0
UVA's College at Wise PD ,,,9,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
VA Commonwealth University PD ,,,1144,0,4,0,5,4,9,140,1,0,23,517,14,9,34,2,3,148,266,0,2,0,0,0,46
Virginia Tech University PD ,,,416,0,1,4,3,1,0,32,1,0,68,143,3,23,10,0,1,85,100,0,2,0,0,0,2
VA Western Community College PD ,,,20,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,8,1,0,0,0,0,0,0
Virginia Military Institute PD ,,,41,0,0,0,0,0,1,5,0,0,6,17,1,0,0,0,0,10,1,0,1,0,0,0,0
Virginia State University PD ,,,214,1,3,0,1,3,4,65,0,0,1,125,1,0,6,0,0,27,17,0,0,0,0,0,4
William & Mary College PD ,,,309,0,0,0,0,0,0,5,1,0,31,193,2,3,5,0,0,67,12,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
