Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement ,0,0,0,0,5,11,16
Stolen Property Offenses ,0,1,26,19,28,55,129
Destruction/Damage/Vandalism ,15,80,188,127,230,193,833
Drug/Narcotic Violations ,4,33,280,411,727,1125,2580
Drug Equipment Violations ,0,1,5,2,6,8,22
Incest ,0,0,0,0,0,0,0
Statutory Rape ,0,0,0,1,0,6,7
Pornography/Obscene Material ,0,1,13,7,6,10,37
Betting/Wagering ,0,0,0,0,2,0,2
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0
Gambling Equipment Violations ,0,0,0,0,0,0,0
Sports Tampering ,0,0,0,0,0,0,0
Prostitution ,0,0,0,0,1,2,3
Assisting or Promoting Prostitution ,0,0,0,0,0,0,0
Bribery ,0,0,0,0,0,0,0
Weapon Law Violations ,9,31,79,52,50,80,301
Total Group A Arrests ,99,881,2834,2396,3056,3804,13070
Bad Checks ,0,0,0,0,0,0,0
Curfew/Loitering/Vagrancy Violations ,4,34,283,281,380,469,1451
Disorderly Conduct,2,46,245,180,166,133,772
Driving Under the Influence ,9,0,1,4,19,82,115
Drunkenness,2,2,20,36,40,69,169
"Family Offenses, Nonviolent ",0,0,5,7,16,18,46
Liquor Law Violations ,4,8,111,164,408,644,1339
Peeping Tom ,0,0,0,0,0,1,1
Runaway,16,94,874,813,831,750,3378
Trespass of Real Property ,2,46,119,131,159,187,644
Conspiracy to Commit Group A Offense ,0,1,5,0,4,9,19
All Other Offenses (except most traffic),41,156,813,825,1231,1461,4527
Total Group B Arrests ,80,387,2476,2441,3254,3823,12461
