COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,102731,3662.96,3763,1,14,26,52,24,58,1006,6,6,211,1426,45,38,388,32,12,770,372,7,28,1,10,0,62
State Police ,,,35,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,1,23,0,0,0,0,0,1
Arlington County PD ,227146,3543.53,8049,0,37,26,75,126,198,910,3,10,238,3486,157,171,1200,89,39,994,1027,0,9,0,31,0,56
State Police ,,,13,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,7,0,0,0,0,0,1
Chesterfield County PD ,326950,4962.53,16225,9,71,52,200,145,174,5235,51,4,1236,4853,236,197,1664,134,146,2741,2341,5,55,0,46,2,419
State Police ,,,185,1,1,0,0,2,12,16,0,0,0,5,1,4,41,0,1,3,103,0,1,0,0,0,10
Fairfax County PD ,1076441,3243.46,34914,12,133,106,231,412,412,7002,32,15,1071,13510,753,407,2911,278,55,6157,4889,9,135,15,115,2,426
State Police ,,,329,0,0,0,1,0,12,17,0,1,0,11,2,9,48,0,3,3,231,0,3,0,1,0,7
Henrico County PD ,316973,4811.45,15251,13,56,23,25,200,350,2685,30,2,1102,6367,363,230,1246,118,64,2342,1581,3,8,1,176,1,218
State Police ,,,126,1,0,0,0,0,4,6,0,0,0,7,2,2,27,0,2,2,77,0,0,0,0,0,27
James City County PD ,70231,3138.21,2204,1,10,14,29,9,29,697,8,1,128,755,32,47,238,31,9,351,174,0,7,0,0,0,46
State Police ,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,2
Prince George County PD ,35986,2984.49,1074,0,1,3,12,9,26,252,2,0,73,290,11,14,55,8,5,190,232,0,3,0,13,0,32
State Police ,,,13,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,9,0,0,0,0,0,0
Prince William County PD ,422716,3686.63,15584,6,87,43,152,244,370,3298,13,12,706,5542,314,236,1283,113,105,1854,2275,9,68,1,19,1,272
State Police ,,,199,0,0,0,0,0,21,10,0,0,1,6,2,2,43,0,0,5,121,0,0,0,0,0,22
Roanoke County PD ,84611,3588.18,3036,0,15,16,36,9,77,935,3,1,234,1033,33,49,345,11,6,346,508,1,16,0,1,0,65
State Police ,,,51,0,0,1,0,0,2,2,1,0,1,3,1,5,10,0,0,0,28,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
