Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""disturbance"" calls (family quarrels, man with gun, etc.) ",375,27.1
2. Burglaries in progress or pursuing burglary suspects ,13,0.9
3. Robberies in progress or pursuing robbery suspects ,4,0.3
4. Attempting other arrests ,309,22.3
"5. Civil disorder (riot, mass disobedience) ",6,0.4
"6. Handling, transporting, custody of prisoners ",173,12.5
7. Investigating suspicious persons or circumstances ,104,7.5
8. Ambush - no warning ,6,0.4
9. Mentally deranged ,38,2.7
10. Traffic pursuits and stops ,106,7.7
11. All Other ,251,18.1
TOTAL ,"1,385",100
