Offense,Number of Completed Offenses,Value Stolen
Bribery,15,$0
Burglary,"24,032","47,365,594"
Embezzlement,"2,749","19,554,089"
Extortion/Blackmail,78,"308,113"
False Pretenses/Swindle/Confidence Game,"12,694","24,032,460"
Credit Card/ATM Fraud ,"8,737","7,260,071"
Impersonation,"5,394","1,705,778"
Welfare Fraud,78,"159,635"
Wire Fraud,692,"4,272,166"
TOTAL FRAUD: ,"27,595","$37,430,110"
Kidnaping/Abduction ,"1,235","5,101"
Pocket Picking,623,"335,946"
Purse Snatching,213,"82,056"
Shoplifting,"30,111","6,348,132"
Theft From Building ,"21,891","27,376,383"
Theft From Coin-Operated Machine,220,"58,621"
Theft From Motor Vehicle,"28,680","17,358,880"
Theft of Motor Vehicle Parts/Accessories,"7,637","2,803,440"
All Other Larceny,"45,544","48,655,565"
TOTAL LARCENY: ,"134,919","$103,019,023"
Motor Vehicle Theft,"8,063","53,987,988"
Robbery,"$3,945","4,424,531"
GRAND TOTAL ,"$202,631","$266,094,549"
