Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday ,5038,2433,8007,9418,9477,6501,766
Tuesday ,4795,2452,7692,9597,9828,6708,873
Wednesday ,4549,2381,7217,9108,9456,6713,741
Thursday ,4591,2370,7035,8761,9278,6615,762
Friday ,5204,2384,7558,9834,10727,7680,895
Saturday ,5688,1783,5957,8455,8433,7613,702
Sunday ,5634,1642,4836,7189,7590,6271,560
TOTAL ,35499,15445,48302,62362,64789,48101,5299
