,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,83,82,121,101,85,79,55,65,67,70,83,53
"Assault, Aggrav. ",606,534,591,660,733,742,710,734,653,636,591,599
"Assault, Other ",6488,5795,6515,6699,7257,6874,6725,6631,6872,6556,6007,5951
Bribery,2,4,2,3,2,0,0,1,2,3,3,2
Burglary ,2387,1815,1849,2094,2433,2224,2241,2401,2270,2259,2186,2141
Counterfeiting ,536,455,496,507,534,479,511,515,508,522,453,491
Destruction ,5145,4353,4938,5271,5651,5632,5750,5649,5193,5211,4907,4628
Drug,5096,5009,5556,4824,5177,4613,4687,4838,4551,4803,4356,3992
Embezzlement ,250,188,192,216,223,249,252,225,228,254,228,252
Extortion ,8,10,13,17,10,15,9,12,12,12,14,12
Fraud,2692,2296,2599,2676,2518,2381,2534,2703,2429,2601,2329,2377
Gambling ,6,1,3,7,5,2,4,6,6,2,1,6
"Homicide, Murder ",25,19,26,24,33,24,22,33,26,24,19,19
"Homicide, Neg. ",1,2,0,4,5,5,3,2,7,0,1,3
Kidnaping/Abduc.,102,81,110,116,125,115,121,104,119,110,101,111
Larceny,11384,9183,10257,11182,12054,12108,12368,12803,11917,11708,10778,11136
MV Theft,611,498,578,664,719,850,849,876,714,776,607,576
Pornography ,85,82,112,94,108,63,80,79,87,83,97,82
Prostitution ,108,65,116,64,54,74,116,128,63,72,92,70
Robbery ,427,288,300,332,353,387,328,434,414,455,399,438
"Forcible Sex, Rape ",93,110,136,115,125,129,118,127,137,111,118,92
"Forcible Sex, Other ",292,238,290,289,268,305,276,248,273,259,226,216
Nonforcible Sex ,15,12,15,19,18,22,15,17,23,10,11,8
Stolen Property,114,103,107,117,113,139,122,130,149,124,104,85
Weapon Laws ,819,656,739,723,842,696,701,753,751,768,788,685
Group A Offenses,37375,31879,35661,36818,39445,38207,38597,39514,37471,37429,34499,34025
Group A Incidents,34013,29030,32538,33865,36155,34987,35283,36307,34342,34286,31420,31088
"Assaults, Other includes simple assaults and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other: includes forcible sodomy, forcible sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
