Location,Total Offenses
Air/Bus/Train Terminal,2
Amusement Park,0
Arena/Stadium,1
ATM Seperate from Bank,0
Auto Dealership,0
Bank/Savings & Loan,0
Bar/Night Club,3
Camp/Campground,4
Church/Synagogue/Temple,10
Commercial/Office Building,23
Construction Site,7
Convenience Store,6
Dock/Freight Terminal,0
Daycare Facility,3
Department/Discount Store,3
Drug Store/Dr Office/Hospital,5
Farm Facility,3
Field/Woods,84
Gambling Facility,0
Government/Public Building,12
Grocery/Supermarket,3
Highway/Road/Alley,85
Hotel/Motel/Etc.,4
Industrial Site,1
Jail/Penitentiary,1
Lake/Waterway,0
Liquor Store,0
Park/Playground,31
Parking Lot/Garage,54
Rental/Storage Facility,11
Residence/Home,448
Rest Area,1
Restaurant,8
School-College,18
School-Elem./Secondary,51
Service/Gas Station,4
Shopping Mall,1
Specialty Store,6
Other/Unknown,42
Total,944
