Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter  ,326,85,238,,3
Negligent Manslaughter,4,3,1,,
Kidnaping/Abduction  ,1137,491,635,1,10
Forcible Rape,333,184,144,,5
Forcible Sodomy  ,197,127,68,,2
Sexual Assault with an Object,124,83,40,,1
Forcible Fondling,611,417,184,,10
Robbery,1713,500,1205,,8
Aggravated Assault  ,4442,2045,2357,4,36
Simple Assault  ,34400,18642,15380,17,361
Intimidation  ,1249,741,499,2,7
Arson,202,127,74,1,
Extortion/Blackmail  ,51,29,21,,1
Burglary/Breaking & Entering  ,3924,2209,1696,,19
Pocket Picking,348,191,154,,3
Purse Snatching,18,14,4,,
Shoplifting  ,15393,8602,6649,5,137
Theft from Building,1029,689,331,,9
Theft from Coin-Operated Machine or Device,23,18,4,,1
Theft from Motor Vehicle,377,241,136,,
Theft of Motor Vehicle Parts or Accessories  ,97,57,40,,
All Other Larceny  ,14653,7882,6550,3,218
Motor Vehicle Theft  ,859,458,396,,5
Counterfeiting/Forgery,1975,1077,870,1,27
False Pretenses/Swindle/Confidence Game,3077,1759,1266,,52
Credit Card/Automatic Teller Machine Fraud  ,507,336,168,,3
Impersonation  ,911,403,500,,8
Welfare Fraud  ,88,38,50,,
Wire Fraud,5,1,4,,
Embezzlement  ,1527,811,692,1,23
Stolen Property Offenses,954,402,549,,3
Destruction/Damage/Vandalism of Property,4156,2452,1659,4,41
Drug/Narcotic Violations,39785,21496,17880,22,387
Drug Equipment Violations  ,520,407,112,,1
Incest,5,3,2,,
Statutory Rape,86,61,25,,
Pornography/Obscene Material ,236,200,35,,1
Betting/Wagering  ,41,11,29,,1
Operating/Promoting/Assisting Gambling  ,9,6,,,3
Gambling Equipment Violation,7,2,1,,4
Sports Tampering  ,,,,,
Prostitution,458,220,214,2,22
Assisting or Promoting Prostitution,395,218,155,,22
Bribery,13,6,7,,
Weapon Law Violations,3500,1814,1669,,17
TOTAL  ,139765,75558,62693,63,1451
