Time of Offense,Percentage of Robberies
6:00 a.m. - 11:59 a.m.,10.70%
Noon - 5:59 p.m.,20.50%
6:00 p.m. - 11:59 p.m.,44.80%
Midnight - 5:59 a.m.,23.40%
Unknown,0.60%
