Month ,Stolen ,Recovered ,Percent Recovered
January ,"25,341,735","4,189,305",16.5
February ,"17,906,732","2,752,531",15.4
March ,"19,906,767","3,409,283",17.1
April ,"23,656,646","5,051,449",21.4
May ,"22,887,602","3,991,846",17.4
June ,"22,565,972","3,922,188",17.4
July ,"22,505,198","3,926,763",17.4
August ,"25,490,344","4,085,795",16
September ,"20,923,953","3,961,475",18.9
October ,"21,939,372","4,209,092",19.2
November ,"23,662,685","3,708,935",15.7
December ,"19,307,543","2,892,042",15
TOTAL ,"$266,094,549","$46,100,704",17.3
