Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,151218,3928.1,5940,5,13,14,21,118,114,1116,13,0,253,2531,284,55,417,44,63,1099,623,0,0,2,19,0,44
State Police,,,16,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,7,0,2,0,0,0,0
Bedford PD ,5964,10932.26,652,0,0,2,5,3,5,174,0,0,26,202,12,11,35,5,2,101,112,0,3,0,1,0,17
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bristol PD,17728,7462.77,1323,0,3,4,13,7,46,311,5,0,61,463,19,25,62,11,9,158,201,1,0,0,0,0,13
State Police,,,7,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,2,0,0,0,0,0,0
Buena Vista PD ,6836,2369.8,162,1,0,3,5,0,6,34,1,0,1,56,1,1,2,2,0,31,28,1,0,0,0,0,2
State Police,,,22,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,20,0,0,0,0,0,1
Charlottesville PD,46623,7024.43,3275,1,7,15,30,63,127,790,5,1,206,1227,55,23,155,10,5,724,318,0,5,0,0,0,45
State Police,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,23,0,0,0,0,0,1
Chesapeake PD ,232977,6422.52,14963,9,82,41,99,157,527,4389,23,5,1072,4912,264,281,1416,96,39,1894,2550,2,53,6,26,1,264
State Police,,,47,0,1,0,0,0,0,2,0,0,0,4,4,1,11,0,0,0,22,0,0,0,0,0,4
Colonial Heights PD ,17073,9840.09,1680,1,6,2,12,13,15,185,1,0,50,685,18,42,118,28,6,164,416,1,1,0,2,0,64
State Police,,,32,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,6
Covington PD,6259,4936.89,309,1,0,0,6,0,6,121,1,0,18,88,2,1,10,1,0,58,28,0,1,0,0,0,3
State Police,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0
Danville PD ,43912,11807.7,5185,5,8,14,18,60,65,1353,13,1,444,1512,85,52,347,25,18,800,746,4,3,0,5,0,104
State Police,,,21,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,8,0,0,0,1,0,0
Emporia PD ,6170,9659.64,596,0,1,1,6,6,16,106,2,0,44,197,4,17,20,5,2,102,126,1,2,1,0,0,15
State Police,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0
Fairfax PD,23938,4386.33,1050,0,2,3,13,11,12,269,0,2,28,346,23,11,90,13,2,127,155,0,2,0,2,0,9
State Police,,,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Falls Church PD,13315,4010.51,534,1,4,4,3,9,10,87,0,0,14,206,8,16,35,4,1,94,76,0,0,6,7,0,2
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Franklin PD,8655,12189.48,1055,0,7,9,10,12,12,271,2,0,101,349,13,28,26,4,1,283,55,1,2,0,0,0,33
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fredericksburg PD,27945,9629.62,2691,1,13,3,7,29,80,688,0,0,66,1038,32,30,260,16,9,420,345,2,5,0,3,0,28
State Police,,,22,0,0,0,0,0,3,1,0,0,0,1,0,0,5,0,0,1,15,0,0,0,0,0,0
Galax PD,7052,9245.6,652,0,5,0,3,1,11,157,1,0,22,254,4,32,48,5,1,84,104,1,3,0,0,0,19
State Police,,,6,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1
Hampton PD,139032,6980.4,9705,22,23,10,55,122,136,1938,23,1,722,3548,226,177,398,108,39,1931,1107,4,4,1,22,0,368
State Police,,,110,0,0,0,0,0,4,0,0,0,0,3,3,1,30,0,2,1,79,0,0,0,0,0,3
Harrisonburg PD,52127,5429.04,2830,1,7,16,10,16,71,609,1,1,181,1133,33,37,188,19,15,546,438,2,2,0,4,0,50
State Police,,,215,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,209,0,0,0,0,0,5
Hopewell PD,22707,9362.75,2126,3,9,4,3,35,58,623,0,0,233,506,46,51,142,11,9,343,284,2,1,0,0,0,71
State Police,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,3
Lexington PD,7332,2045.82,150,0,0,1,0,1,2,7,0,0,6,54,2,2,8,1,0,43,30,0,0,0,0,0,2
State Police,,,13,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2
Lynchburg PD,77376,7298.12,5647,0,25,31,90,73,222,2045,6,3,357,1550,85,46,358,26,6,695,967,0,16,3,10,0,119
State Police,,,109,0,0,0,0,0,0,3,0,0,0,1,0,1,13,0,1,0,92,0,0,0,0,0,4
Manassas PD,40690,6795.28,2765,0,19,17,38,38,62,621,7,1,96,710,51,14,329,10,3,500,621,2,11,0,10,0,41
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Manassas Park PD,15174,3631.21,551,0,5,4,4,3,7,133,2,0,24,174,14,2,23,1,7,97,126,0,3,0,0,0,17
