Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,146,10.5
One-Man Vehicle,,
Alone,441,31.8
Assisted,483,34.9
Detective or Special Assignment,,
Alone,11,0.8
Assisted,48,3.5
Other Assignments,,
Alone,105,7.6
Assisted,151,10.9
TOTAL,1385,100
