Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,,Total County,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,2,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,3,0,4,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,96,0
Manslaughter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kidnaping,1,0,9,1,0,0,0,0,0,0,0,0,19,1,10,0,0,0,1,0,0,1,2,1,2,0,2,0,0,0,8,0,3,0,2,0,1,0,0,0,47,8,0,0,0,0,6,0,0,0,0,0,3,0,2,0,100,0,5,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,12,0,5,0,7,0,0,0,7,0,10,0,0,0,0,0,1,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0,3,1,0,0,3,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,80,4,5,0,0,0,1,0,8,1,1,0,6,0,3,0,9,0,2,0,5,0,1,0,21,1,14,0,1,0,0,0,4,0,2,0,8,0,5,0,13,0,3,0,7,1,513,21
"Sex Offenses, Forcible",2,0,19,1,1,1,2,1,0,1,0,0,21,3,19,1,0,0,5,3,0,0,8,1,1,0,1,0,4,0,8,0,9,0,3,0,0,0,1,0,59,24,1,0,0,0,5,5,2,0,2,0,6,0,4,0,68,18,8,4,0,0,0,0,9,1,8,1,4,0,1,0,1,0,1,0,0,0,1,0,8,2,20,5,6,4,6,3,0,0,5,1,3,1,0,0,0,1,3,3,0,0,0,0,13,3,0,0,2,0,2,0,0,0,8,2,0,0,13,2,1,0,4,1,0,6,0,0,3,2,1,0,2,0,1,0,8,0,1,2,3,0,4,3,48,20,10,0,0,0,0,0,4,3,5,0,6,4,14,3,4,0,7,0,8,0,0,1,14,0,8,2,5,0,3,0,7,1,5,0,13,2,0,0,6,0,4,0,9,6,581,148
Robbery,1,0,5,0,0,0,2,0,0,0,0,0,32,3,5,0,1,0,3,0,0,0,0,0,0,0,3,0,4,0,3,0,6,3,2,0,0,0,1,0,66,6,0,0,0,0,3,0,0,0,0,0,7,0,0,0,125,36,7,2,0,0,0,0,1,0,7,0,3,0,2,0,3,0,2,0,1,0,0,0,6,1,9,6,18,6,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21,5,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,0,3,1,1,1,0,0,3,1,5,0,0,0,0,0,5,0,1,0,6,0,1,1,61,24,2,0,0,0,0,0,6,1,1,0,0,0,5,1,6,0,2,0,1,0,2,0,21,1,10,0,1,0,2,1,1,0,1,0,6,1,1,0,12,0,4,0,3,1,545,114
Aggravated Assault,9,0,25,1,2,0,3,0,8,0,1,0,102,4,27,0,0,0,10,1,2,0,6,0,7,0,21,1,7,2,29,1,12,0,12,0,4,0,6,0,127,16,1,0,5,0,16,2,1,0,11,0,11,0,15,0,275,22,18,2,1,0,6,0,26,0,23,3,9,0,12,2,1,0,8,0,6,0,3,0,31,0,50,3,61,7,42,2,0,0,11,1,19,3,6,0,7,0,4,0,6,0,13,0,66,4,13,0,10,1,0,0,0,0,24,1,1,0,37,3,4,0,11,0,4,0,14,0,8,0,6,1,2,0,11,0,16,1,3,1,14,1,12,4,169,17,29,0,2,0,5,0,39,0,8,0,6,1,20,0,13,1,23,0,23,0,9,0,68,7,64,3,6,0,2,0,25,1,5,0,13,0,13,0,28,0,23,0,9,2,1976,122
Simple Assault/Intimidation,106,3,242,40,73,1,27,2,62,3,15,0,362,29,77,0,12,0,217,18,13,0,70,18,11,2,195,2,91,7,277,4,164,4,135,2,22,0,78,3,1185,867,26,4,17,0,248,24,64,3,50,0,77,18,60,3,1966,283,195,12,5,2,43,1,192,33,262,50,71,3,142,18,39,0,44,0,59,14,30,0,148,11,313,51,307,126,358,12,0,0,82,3,186,58,29,1,49,2,67,6,32,2,110,0,431,13,90,0,39,6,48,3,16,0,69,5,16,1,333,15,27,3,52,17,61,5,44,0,53,3,65,12,48,0,92,0,291,1,52,12,58,3,77,13,1405,300,257,13,19,0,19,3,408,39,75,11,64,2,175,2,119,1,127,25,180,5,78,0,229,25,518,12,24,7,30,0,270,6,152,14,172,5,70,6,339,17,69,8,160,67,15626,2425
Arson,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,2,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,1,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,2,2,64,43
Extortion/Blackmail,0,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,27,2
