COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO ,27648,3638.59,1006,3,1,6,9,7,13,310,0,0,120,271,23,11,39,3,4,176,14,2,2,0,0,0,5
State Police ,,,149,0,0,0,0,0,2,1,50,0,0,8,2,9,8,2,1,4,65,0,1,0,0,0,3
Alleghany County SO ,12085,3020.27,365,2,3,2,7,0,7,82,3,0,50,100,5,3,23,1,1,62,67,1,0,0,0,0,9
State Police ,,,84,0,0,0,0,0,1,2,0,0,0,6,0,1,3,0,1,1,70,0,0,0,0,0,4
Amelia County SO ,12759,2703.97,345,0,2,1,8,1,4,99,2,0,36,75,15,7,25,1,1,55,47,1,8,0,0,0,18
State Police ,,,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Amherst County SO ,30251,2383.39,721,1,0,4,12,1,20,112,1,0,49,304,23,9,34,6,0,127,79,0,4,0,0,0,7
State Police ,,,42,0,0,0,0,0,1,1,0,0,1,2,0,0,6,1,0,4,26,0,0,0,0,0,5
Appomattox County SO ,15270,1244.26,190,0,0,1,4,1,4,31,0,0,19,82,6,3,4,1,0,15,18,1,4,0,0,0,2
State Police ,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1
Augusta County SO ,74504,1825.4,1360,0,9,6,16,12,58,132,1,2,143,545,30,27,98,15,7,228,116,7,7,0,0,0,30
State Police ,,,39,1,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,1,26,0,0,0,0,0,5
Bath County SO ,4756,1682.08,80,0,0,0,0,1,0,14,0,0,6,27,1,0,1,0,2,15,15,0,0,0,0,0,1
State Police ,,,23,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0
Bedford County SO ,70345,2492,1753,0,1,8,20,2,13,575,7,0,172,434,25,21,155,9,2,237,247,2,17,0,0,0,33
State Police ,,,60,0,0,0,1,0,2,3,0,0,2,2,1,1,15,0,0,4,32,0,0,0,0,0,1
Bland County SO ,6768,1433.21,97,0,1,0,0,0,2,13,1,0,23,39,1,2,1,0,0,22,6,0,0,0,0,0,1
State Police ,,,24,0,0,0,0,0,2,2,0,0,1,4,0,0,0,0,0,1,11,0,0,0,0,0,4
Botetourt County SO ,33423,2100.35,702,1,4,2,13,3,9,179,2,0,36,208,15,11,30,5,0,74,155,0,1,0,0,0,16
State Police ,,,99,0,0,0,0,0,0,0,1,0,0,1,1,0,7,1,0,1,91,0,0,0,0,0,5
Brunswick County SO ,15974,1439.83,230,0,2,0,4,0,8,18,1,0,48,48,9,4,9,0,1,37,51,0,0,1,0,0,8
State Police ,,,11,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,8,0,0,0,0,0,1
Buchanan County SO ,22857,4130.02,944,0,5,6,14,1,30,255,6,1,116,281,27,23,74,3,19,145,70,1,27,0,0,1,26
State Police ,,,67,0,0,0,1,0,1,3,6,0,4,21,5,6,16,0,1,8,10,0,0,0,0,0,2
Buckingham County SO ,17185,2734.94,470,1,0,5,7,5,15,168,2,1,44,94,17,5,12,1,1,96,82,0,0,0,1,0,17
State Police ,,,82,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,79,0,0,0,0,0,0
Campbell County SO ,51539,2927.87,1509,3,12,14,27,8,41,444,1,0,104,551,24,16,107,7,2,248,87,4,6,0,0,0,36
State Police ,,,65,0,1,0,0,0,1,4,0,0,0,2,0,2,2,0,1,5,46,0,0,0,0,0,3
Caroline County SO ,28355,3526.71,1000,0,5,6,17,5,17,268,4,0,102,289,1,16,85,5,0,149,174,2,5,0,0,0,28
State Police ,,,81,0,1,0,1,0,4,19,1,0,3,20,14,5,6,0,1,7,23,0,1,0,0,0,2
Carroll County SO ,26753,2627.74,703,2,2,4,9,1,18,194,4,0,90,232,20,10,10,0,1,90,76,2,0,0,0,0,22
State Police ,,,29,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,1,1,20,0,0,0,0,0,0
Charles City County SO ,7268,894.33,65,0,1,1,1,0,4,30,0,0,5,17,1,0,1,0,0,12,3,0,0,0,0,0,1
State Police ,,,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
Charlotte County SO ,12497,2720.65,340,1,1,3,2,1,9,104,1,0,23,57,3,6,5,1,0,40,107,0,0,0,0,0,6
State Police ,,,99,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,97,0,0,0,0,0,0
Clarke County SO ,9883,3177.17,314,0,0,0,0,1,3,91,4,0,23,101,5,8,13,1,0,51,27,0,0,0,0,0,8
State Police ,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,1
Craig County SO ,5305,735.15,39,0,0,0,0,0,6,17,0,0,1,5,2,0,0,0,0,3,0,0,0,0,0,0,5
State Police ,,,22,0,0,1,4,0,0,0,0,0,0,3,3,2,3,0,0,1,7,0,0,0,0,0,0
Culpeper County SO ,31590,2507.12,792,0,2,2,14,3,30,220,4,0,47,143,20,4,68,0,1,118,189,0,6,0,0,0,24
State Police ,,,42,0,0,0,0,0,0,4,0,0,0,4,0,1,1,0,0,0,33,0,0,0,0,0,0
Cumberland County SO ,10191,2090.07,213,0,0,2,2,1,9,85,0,0,21,41,4,15,3,1,1,27,38,0,0,0,0,0,4
State Police ,,,18,0,0,0,0,0,0,4,2,0,0,1,0,0,1,0,0,1,11,0,0,0,0,0,1
Dickenson County SO ,13786,2103.58,290,0,2,1,3,1,15,54,2,0,43,101,8,1,5,0,2,25,32,0,2,0,0,0,11
State Police ,,,32,0,0,0,1,0,5,3,0,0,3,7,1,1,6,1,0,1,10,0,0,0,0,0,1
Dinwiddie County SO ,28864,2913.66,841,4,12,9,9,7,32,130,2,0,103,286,18,11,60,7,9,126,112,0,5,0,1,0,42
State Police ,,,23,0,1,0,0,0,1,7,0,0,0,0,1,1,1,0,0,1,15,0,0,0,0,0,0
Essex County SO,8684,2924.91,254,1,0,1,0,1,13,53,0,0,56,38,5,2,18,0,0,54,40,1,1,0,0,0,7
