Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,1497,1079,408,,10
Curfew/Loitering/Vagrancy Violations ,1636,770,847,2,17
Disorderly Conduct ,4532,2026,2470,2,34
Driving Under the Influence ,26482,19685,6274,22,501
Drunkenness ,28629,20239,8094,21,275
"Family Offenses, Nonviolent ",2614,769,1829,1,15
Liquor Law Violations ,10437,7204,3042,10,181
Peeping Tom ,38,24,14,,
Runaway ,3378,1893,1426,2,57
Trespass of Real Property ,8886,4104,4717,4,61
Conspiracy to Commit Group A Offense ,152,88,62,,2
All Other Offenses (except most traffic) ,97458,55589,40875,52,942
Total ,185739,113470,70058,116,2095
