Days of Week/Number of Offenses,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bribery,5,4,2,5,4,4,0
Counterfeiting/Forgery ,998,1009,910,902,981,715,492
Destruction/Vandalism ,8558,8631,8324,8228,9856,9815,8916
Embezzlement ,433,458,387,414,497,335,233
Extortion,23,23,27,19,23,17,12
Fraud ,5014,5070,4579,4447,5069,3402,2554
Stolen Property,175,222,206,223,218,215,148
Total,15206,15417,14435,14238,16648,14503,12355
