Location of Motor Vehicle Theft,Number
Abandoned/Condemned Struc.,2
Air/Bus/Train Terminal,26
Arena/Stadium,3
Auto Dealership,104
Bank/Savings & Loan,3
Bar/Night Club,23
Camp/Campground,1
Church/Synagogue/Temple,24
Commercial/Office Building,129
Construction Site,15
Convenience Store,64
Dock/Freight Terminal,4
Daycare Facility,4
Department/Discount Store,29
Drug Store/Dr Office/Hospital,20
Farm Facility,15
Field/Woods,57
Government/Public Building,17
Grocery/Supermarket,19
Highway/Road/Alley,1714
Hotel/Motel/Etc.,99
Industrial Site,10
Jail/Penitentiary,7
Lake/Waterway,4
Liquor Store,1
Park/Playground,9
Parking Lot/Garage,2127
Rental/Storage Facility,39
Residence/Home,3258
Restaurant,51
School - College,34
School - Elem./Secondary,19
Service/Gas Station,89
Shelter-Mission/Home,2
Shopping Mall,9
Specialty Store,38
Other/Unknown,249
TOTAL,8318
