Crimes Against Persons ,2007,2008,2009,2010,2011,2012,2013,2014
Homicide ,0,1,0,1,1,1,1,0
Kidnapping/Abduction ,16,12,6,16,22,12,7,8
Forcible Sex Offenses ,13,30,20,37,34,39,26,31
Robbery ,37,25,27,13,20,25,16,11
Assault/Intimidation ,541,465,491,450,502,580,601,591
Non-forcible Sex Offenses ,2,2,2,1,1,0,2,1
Crimes Against Property ,2007,2008,2009,2010,2011,2012,2013,2014
Arson ,5,6,5,11,7,6,1,3
Extortion/Blackmail ,1,1,1,1,1,0,1,0
Burglary ,264,254,187,139,154,164,185,233
Larceny ,900,923,1016,945,905,925,1152,912
Motor Vehicle theft ,73,79,61,36,37,30,33,31
Counterfeiting/Forgery ,82,43,42,52,54,30,37,40
Fraud ,186,189,187,177,190,213,208,285
Embezzlement ,42,42,27,20,18,20,21,23
Stolen Property ,18,16,17,9,8,16,15,8
Property Damage/Vandalism ,841,880,780,581,661,606,581,619
Bribery ,0,0,0,0,0,2,0,0
Crimes Against Society ,2007,2008,2009,2010,2011,2012,2013,2014
Drug Offenses ,469,564,568,514,444,457,537,607
Pornography/Obscene Material ,2,1,1,5,4,9,2,15
Gambling ,0,0,0,0,0,0,0,0
Prostitution ,2,1,1,2,3,2,4,3
Weapon Law Violations ,65,63,63,52,55,70,67,63
