Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,652,1832,1048,277,836,519
Black,542,1644,1021,335,929,530
Am. Ind./Alskn,0,2,1,0,1,0
Asian/Pacfc Isl.,6,35,13,2,18,6
Unknown,127,36,13,93,14,7
TOTAL,1327,3549,2096,707,1798,1062
