Relationship of Victim to Offender in Aggravated Assault Offenses,Number
Spouse,687
Common-Law Spouse,99
Parent,166
Sibling,241
Child,243
Grandparent,6
Grandchild,5
In-Law,45
Stepparent,24
Stepchild,32
Stepsibling,6
Other Family Member,219
Victim Was Offender,383
Acquaintance,2691
Friend,519
Neighbor,181
Babysittee (the baby),12
Boyfriend/Girlfriend,1071
Child of Boyfriend/Girlfriend,38
Homosexual Relationship,30
Ex-Spouse,30
Employee,23
Employer,11
Otherwise Known,1227
Relationship Unknown,3560
Victim Was Stranger,2424
