Arrests by Offense,Tazewell,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",11,5
Robbery,5,0
Aggravated Assault,21,1
Simple Assault/Intimidation,164,15
Arson,1,0
Extortion/Blackmail,1,0
Burglary,30,12
Larceny,249,35
Motor Vehicle Theft,5,2
Counterfeiting/Forgery,74,0
Fraud,25,1
Embezzlement,5,0
Stolen Property,2,0
Vandalism,28,69
Drug/Narcotic Offenses,139,14
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,25,6
TOTAL GROUP A,796,160
Bad Checks,3,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,12,4
Driving Under Influence,152,1
Drunkenness,238,16
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,27,22
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,51,10
Conspiracy,1,0
All Other (except Traffic),172,21
TOTAL GROUP B,659,74
GRAND TOTAL,1455,234
