Arrests by Offense,Frederick,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,1
"Sex Offenses, Forcible",4,2
Robbery,5,0
Aggravated Assault,22,2
Simple Assault/Intimidation,276,17
Arson,1,0
Extortion/Blackmail,0,0
Burglary,55,15
Larceny,151,16
Motor Vehicle Theft,2,4
Counterfeiting/Forgery,34,0
Fraud,5,1
Embezzlement,6,0
Stolen Property,4,0
Vandalism,32,12
Drug/Narcotic Offenses,126,13
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,2
TOTAL GROUP A,750,85
Bad Checks,156,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,1,
Driving Under Influence,170,6
Drunkenness,313,1
"Family Offenses, Nonforcible",,
Liquor Laws Violations,11,12
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,24,0
Conspiracy,0,0
All Other (except Traffic),648,14
TOTAL GROUP B,1324,33
GRAND TOTAL,2074,118
