Arrests by Offense,Page,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,4,0
Simple Assault/Intimidation,21,0
Arson,1,0
Extortion/Blackmail,0,0
Burglary,2,2
Larceny,1,
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,1,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,0,0
Drug/Narcotic Offenses,103,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,3
TOTAL GROUP A,146,7
Bad Checks,2,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,4,2
Driving Under Influence,64,2
Drunkenness,17,1
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,2,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),80,1
TOTAL GROUP B,178,6
GRAND TOTAL,324,13
