Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,14,1
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",48,14
Robbery,73,19
Aggravated Assault,232,36
Simple Assault/Intimidation,"1,320",229
Arson,5,8
Extortion/Blackmail,0,0
Burglary,85,52
Larceny,493,239
Motor Vehicle Theft,56,49
Counterfeiting/Forgery,82,4
Fraud,79,3
Embezzlement,37,3
Stolen Property,48,27
Vandalism,89,94
Drug/Narcotic Offenses,1301,146
"Sex Offenses, Nonforcible",5,0
Pornography,0,0
Gambling,3,0
Prostitution,21,0
Bribery,0,0
Weapon Law Violations,133,49
TOTAL GROUP A,"4,125",973
Bad Checks,1,0
Curfew/Loitering/Vagrancy,3,186
Disorderly Conduct,68,38
Driving Under Influence,311,6
Drunkenness,940,13
"Family Offenses, Nonforcible",159,32
Liquor Laws Violations,22,45
Peeping Tom,3,0
Runaway,0,319
Trespass of Real Property,181,106
Conspiracy,0,0
All Other (except Traffic),541,364
TOTAL GROUP B,2229,1109
GRAND TOTAL,6354,2082
