Arrests by Offense,Louisa,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,0
Robbery,2,0
Aggravated Assault,4,1
Simple Assault/Intimidation,45,1
Arson,1,0
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,8,
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,0,0
Embezzlement,5,0
Stolen Property,0,0
Vandalism,5,0
Drug/Narcotic Offenses,35,0
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,1
TOTAL GROUP A,117,4
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,2,
Driving Under Influence,29,2
Drunkenness,10,1
"Family Offenses, Nonforcible",,
Liquor Laws Violations,,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,1,0
Conspiracy,0,0
All Other (except Traffic),16,2
TOTAL GROUP B,58,8
GRAND TOTAL,175,12
