Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,9,0
Manslaughter,0,0
Kidnaping,29,4
"Sex Offenses, Forcible",53,48
Robbery,48,19
Aggravated Assault,113,66
Simple Assault/Intimidation,"1,136",1054
Arson,8,15
Extortion/Blackmail,3,0
Burglary,134,271
Larceny,869,622
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,187,14
Fraud,139,14
Embezzlement,90,10
Stolen Property,19,22
Vandalism,120,215
Drug/Narcotic Offenses,1243,329
"Sex Offenses, Nonforcible",12,3
Pornography,3,3
Gambling,,1
Prostitution,54,0
Bribery,4,1
Weapon Law Violations,136,72
TOTAL GROUP A,"4,410",2783
Bad Checks,217,1
Curfew/Loitering/Vagrancy,1,278
Disorderly Conduct,738,263
Driving Under Influence,1011,19
Drunkenness,17,29
"Family Offenses, Nonforcible",17,
Liquor Laws Violations,139,112
Peeping Tom,3,1
Runaway,0,653
Trespass of Real Property,204,106
Conspiracy,0,0
All Other (except Traffic),3555,367
TOTAL GROUP B,5902,1829
GRAND TOTAL,10312,4612
