Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,29,0
"Sex Offenses, Forcible",16,0
Robbery,24,0
Aggravated Assault,43,1
Simple Assault/Intimidation,496,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,33,
Larceny,250,3
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,11,0
Fraud,38,1
Embezzlement,15,0
Stolen Property,18,0
Vandalism,46,0
Drug/Narcotic Offenses,246,5
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,41,1
TOTAL GROUP A,"1,311",12
Bad Checks,59,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,37,4
Driving Under Influence,108,1
Drunkenness,32,2
"Family Offenses, Nonforcible",32,
Liquor Laws Violations,45,
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,89,8
Conspiracy,1,0
All Other (except Traffic),854,2
TOTAL GROUP B,1258,17
GRAND TOTAL,2569,29
