Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,12,2
Manslaughter,0,0
Kidnaping,45,7
"Sex Offenses, Forcible",70,24
Robbery,78,32
Aggravated Assault,85,20
Simple Assault/Intimidation,"2,229",532
Arson,19,46
Extortion/Blackmail,2,9
Burglary,141,134
Larceny,995,598
Motor Vehicle Theft,59,31
Counterfeiting/Forgery,109,2
Fraud,135,4
Embezzlement,94,4
Stolen Property,32,16
Vandalism,216,152
Drug/Narcotic Offenses,1818,286
"Sex Offenses, Nonforcible",3,0
Pornography,6,0
Gambling,2,1
Prostitution,61,0
Bribery,0,0
Weapon Law Violations,194,64
TOTAL GROUP A,"6,405",1964
Bad Checks,143,0
Curfew/Loitering/Vagrancy,21,561
Disorderly Conduct,794,224
Driving Under Influence,2292,8
Drunkenness,3319,27
"Family Offenses, Nonforcible",22,
Liquor Laws Violations,437,157
Peeping Tom,27,2
Runaway,0,2
Trespass of Real Property,458,112
Conspiracy,0,0
All Other (except Traffic),9023,878
TOTAL GROUP B,16536,1971
GRAND TOTAL,22941,3935
