Arrests by Offense,Buchanan ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",6,0
Robbery,4,0
Aggravated Assault,32,0
Simple Assault/Intimidation,189,1
Arson,1,0
Extortion/Blackmail,1,0
Burglary,26,
Larceny,65,2
Motor Vehicle Theft,18,0
Counterfeiting/Forgery,29,0
Fraud,22,0
Embezzlement,1,0
Stolen Property,8,0
Vandalism,27,0
Drug/Narcotic Offenses,83,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,25,0
TOTAL GROUP A,545,3
Bad Checks,198,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,118,
Driving Under Influence,85,1
Drunkenness,165,1
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,0
Conspiracy,4,0
All Other (except Traffic),390,16
TOTAL GROUP B,987,20
GRAND TOTAL,1532,23
