Arrests by Offense,Amherst ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,1
Kidnaping,0,0
"Sex Offenses, Forcible",13,0
Robbery,1,0
Aggravated Assault,7,0
Simple Assault/Intimidation,116,0
Arson,1,0
Extortion/Blackmail,0,0
Burglary,9,
Larceny,55,
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,45,0
Fraud,7,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,9,0
Drug/Narcotic Offenses,102,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,7,0
Bribery,0,0
Weapon Law Violations,17,0
TOTAL GROUP A,394,8
Bad Checks,5,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,9,1
Driving Under Influence,175,1
Drunkenness,215,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,3,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,6,0
Conspiracy,1,0
All Other (except Traffic),69,0
TOTAL GROUP B,483,2
GRAND TOTAL,877,10
