Arrests by Offense,Amelia ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,3
Robbery,0,0
Aggravated Assault,1,0
Simple Assault/Intimidation,62,8
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,
Larceny,6,1
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,1,0
Stolen Property,0,1
Vandalism,6,0
Drug/Narcotic Offenses,55,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,4,3
TOTAL GROUP A,144,25
Bad Checks,44,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,5,1
Driving Under Influence,38,1
Drunkenness,11,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,3,
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,9,0
Conspiracy,0,0
All Other (except Traffic),136,2
TOTAL GROUP B,246,6
GRAND TOTAL,390,31
