Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",4,0
Robbery,5,5
Aggravated Assault,47,3
Simple Assault/Intimidation,150,26
Arson,2,0
Extortion/Blackmail,0,0
Burglary,11,3
Larceny,208,33
Motor Vehicle Theft,5,5
Counterfeiting/Forgery,3,0
Fraud,10,0
Embezzlement,16,2
Stolen Property,4,1
Vandalism,14,4
Drug/Narcotic Offenses,188,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,30,0
Bribery,0,0
Weapon Law Violations,28,3
TOTAL GROUP A,728,94
Bad Checks,3,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,11,18
Driving Under Influence,152,0
Drunkenness,519,1
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,36,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,64,4
Conspiracy,0,0
All Other (except Traffic),251,13
TOTAL GROUP B,1040,38
GRAND TOTAL,1768,132
