Arrests by Offense,Total State,
,Adult,Juvenile
Murder,249,18
Manslaughter,9,2
Kidnaping,669,34
"Sex Offenses, Forcible",1039,313
Robbery,1158,243
Aggravated Assault,3961,521
Simple Assault/Intimidation,"29,675",4634
Arson,163,164
Extortion/Blackmail,30,12
Burglary,"2,645","1,128"
Larceny,"16,647","4,369"
Motor Vehicle Theft,1006,393
Counterfeiting/Forgery,2620,84
Fraud,2570,81
Embezzlement,1348,60
Stolen Property,813,155
Vandalism,2825,1263
Drug/Narcotic Offenses,23524,2760
"Sex Offenses, Nonforcible",109,10
Pornography,36,4
Gambling,72,4
Prostitution,567,2
Bribery,14,3
Weapon Law Violations,"2,931",645
TOTAL GROUP A,"94,680",16902
Bad Checks,"7,275",18
Curfew/Loitering/Vagrancy,173,1937
Disorderly Conduct,"5,101","1,404"
Driving Under Influence,24059,277
Drunkenness,25219,274
"Family Offenses, Nonforcible","1,103",44
Liquor Laws Violations,"7,442","1,466"
Peeping Tom,107,7
Runaway,0,4019
Trespass of Real Property,6847,874
Conspiracy,211,5
All Other (except Traffic),77897,6191
TOTAL GROUP B,155434,16516
GRAND TOTAL,250114,33418
