Arrests by Offense,Fauquier,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",5,2
Robbery,10,1
Aggravated Assault,27,5
Simple Assault/Intimidation,191,18
Arson,2,0
Extortion/Blackmail,0,0
Burglary,29,6
Larceny,75,7
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,10,0
Fraud,13,0
Embezzlement,10,0
Stolen Property,4,0
Vandalism,15,3
Drug/Narcotic Offenses,193,35
"Sex Offenses, Nonforcible",0,0
Pornography,3,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,38,4
TOTAL GROUP A,633,81
Bad Checks,41,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,29,6
Driving Under Influence,271,2
Drunkenness,204,2
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,65,22
Peeping Tom,0,0
Runaway,0,8
Trespass of Real Property,42,7
Conspiracy,0,0
All Other (except Traffic),506,14
TOTAL GROUP B,1159,61
GRAND TOTAL,1792,142
