Arrests by Offense,Martinsville,
,Adult,Juvenile
Murder,0,1
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",6,3
Robbery,9,2
Aggravated Assault,16,8
Simple Assault/Intimidation,153,38
Arson,0,0
Extortion/Blackmail,0,0
Burglary,20,7
Larceny,62,8
Motor Vehicle Theft,2,5
Counterfeiting/Forgery,35,9
Fraud,27,4
Embezzlement,7,0
Stolen Property,0,0
Vandalism,24,8
Drug/Narcotic Offenses,62,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,26,2
TOTAL GROUP A,450,100
Bad Checks,20,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,57,7
Driving Under Influence,127,1
Drunkenness,122,2
"Family Offenses, Nonforcible",,1
Liquor Laws Violations,12,7
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,6
Conspiracy,0,0
All Other (except Traffic),389,42
TOTAL GROUP B,746,66
GRAND TOTAL,1196,166
