Arrests by Offense,Augusta,
,Adult,Juvenile
Murder,4,1
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",28,3
Robbery,1,0
Aggravated Assault,21,0
Simple Assault/Intimidation,149,12
Arson,2,0
Extortion/Blackmail,0,0
Burglary,23,
Larceny,73,4
Motor Vehicle Theft,0,2
Counterfeiting/Forgery,84,0
Fraud,16,0
Embezzlement,8,0
Stolen Property,7,0
Vandalism,23,2
Drug/Narcotic Offenses,76,4
"Sex Offenses, Nonforcible",6,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,13,0
TOTAL GROUP A,538,28
Bad Checks,32,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,24,
Driving Under Influence,177,3
Drunkenness,124,1
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,29,5
Peeping Tom,0,0
Runaway,0,10
Trespass of Real Property,33,0
Conspiracy,0,0
All Other (except Traffic),804,21
TOTAL GROUP B,1227,40
GRAND TOTAL,1765,68
