Arrests by Offense,Williamsburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,1
Robbery,5,2
Aggravated Assault,7,1
Simple Assault/Intimidation,91,17
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,
Larceny,30,14
Motor Vehicle Theft,2,5
Counterfeiting/Forgery,5,0
Fraud,5,0
Embezzlement,5,1
Stolen Property,1,1
Vandalism,9,0
Drug/Narcotic Offenses,52,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,227,45
Bad Checks,1,0
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,2,1
Driving Under Influence,86,0
Drunkenness,107,2
"Family Offenses, Nonforcible",,
Liquor Laws Violations,41,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,1
Conspiracy,0,0
All Other (except Traffic),40,4
TOTAL GROUP B,282,13
GRAND TOTAL,509,58
