Arrests by Offense,Gloucester,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",8,0
Robbery,1,0
Aggravated Assault,15,2
Simple Assault/Intimidation,102,12
Arson,0,0
Extortion/Blackmail,2,0
Burglary,9,
Larceny,29,16
Motor Vehicle Theft,5,2
Counterfeiting/Forgery,6,0
Fraud,6,1
Embezzlement,2,0
Stolen Property,0,0
Vandalism,8,6
Drug/Narcotic Offenses,262,22
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,1
TOTAL GROUP A,462,62
Bad Checks,4,0
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,1,1
Driving Under Influence,94,4
Drunkenness,33,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,3,2
Peeping Tom,0,0
Runaway,0,13
Trespass of Real Property,1,0
Conspiracy,2,0
All Other (except Traffic),108,4
TOTAL GROUP B,247,25
GRAND TOTAL,709,87
